goterms	description	ontology	search_term
GO:0002250	adaptive immune response	biological_process	acquired%20immune%20response
GO:0006955	immune response	biological_process	acquired%20immune%20response
GO:0039504	symbiont-mediated suppression of host adaptive immune response	biological_process	acquired%20immune%20response
GO:0006959	humoral immune response	biological_process	acquired%20immune%20response
GO:0002384	hepatic immune response	biological_process	acquired%20immune%20response
GO:0002385	mucosal immune response	biological_process	acquired%20immune%20response
GO:0045087	innate immune response	biological_process	acquired%20immune%20response
GO:0072538	T-helper 17 type immune response	biological_process	acquired%20immune%20response
GO:0042088	T-helper 1 type immune response	biological_process	acquired%20immune%20response
GO:0009627	systemic acquired resistance	biological_process	acquired%20immune%20response
GO:0061760	antifungal innate immune response	biological_process	acquired%20immune%20response
GO:0090718	adaptive immune effector response	biological_process	acquired%20immune%20response
GO:0090716	adaptive immune memory response	biological_process	acquired%20immune%20response
GO:0090720	primary adaptive immune response	biological_process	acquired%20immune%20response
GO:0016064	immunoglobulin mediated immune response	biological_process	acquired%20immune%20response
GO:0050776	regulation of immune response	biological_process	acquired%20immune%20response
GO:0002253	activation of immune response	biological_process	acquired%20immune%20response
GO:0042092	type 2 immune response	biological_process	acquired%20immune%20response
GO:0140374	antiviral innate immune response	biological_process	acquired%20immune%20response
GO:0140367	antibacterial innate immune response	biological_process	acquired%20immune%20response
GO:0002387	immune response in gut-associated lymphoid tissue	biological_process	acquired%20immune%20response
GO:0002395	immune response in nasopharyngeal-associated lymphoid tissue	biological_process	acquired%20immune%20response
GO:0002819	regulation of adaptive immune response	biological_process	acquired%20immune%20response
GO:0002418	immune response to tumor cell	biological_process	acquired%20immune%20response
GO:0050777	negative regulation of immune response	biological_process	acquired%20immune%20response
GO:0050778	positive regulation of immune response	biological_process	acquired%20immune%20response
GO:0002218	activation of innate immune response	biological_process	acquired%20immune%20response
GO:0002227	innate immune response in mucosa	biological_process	acquired%20immune%20response
GO:0002388	immune response in Peyers patch	biological_process	acquired%20immune%20response
GO:0002757	immune response-activating signaling pathway	biological_process	acquired%20immune%20response
GO:0002764	immune response-regulating signaling pathway	biological_process	acquired%20immune%20response
GO:0002765	immune response-inhibiting signal transduction	biological_process	acquired%20immune%20response
GO:0045088	regulation of innate immune response	biological_process	acquired%20immune%20response
GO:0042783	evasion of host immune response	biological_process	acquired%20immune%20response
GO:0052572	response to host immune response	biological_process	acquired%20immune%20response
GO:0002920	regulation of humoral immune response	biological_process	acquired%20immune%20response
GO:0009616	RNAi-mediated antiviral immune response	biological_process	acquired%20immune%20response
GO:0002280	monocyte activation involved in immune response	biological_process	acquired%20immune%20response
